,question,answer,question_type,filename
0,"Who are the individuals who, at the request of the Bank or a related body corporate, act as director, secretary or senior manager of a body corporate which is not a related body corporate of the Bank?","Persons who, at the request of the Bank or a related body corporate, act as director, secretary or senior manager of a body corporate which is not a related body corporate of the Bank are indemnified by the Bank under the deed poll.",simple,CBA_AnnualReport_2023.pdf
1,"How does the Bank ensure that its remuneration framework supports the Group's commitment to do the right thing for its customers, people, communities, and shareholders?","The Bank's remuneration framework, including consequences for when expectations are not met, supports the Group's commitment to do the right thing for its customers, people, communities, and shareholders. The framework includes a risk and reputation modifier that can adjust STVR outcomes based on risk-related matters, and rewards executives for managing risk well.",simple,CBA_AnnualReport_2023.pdf
2,"Who are the individuals who, at the request of a related body corporate of the Bank, act as a member of the compliance committee of a registered scheme for which the related body corporate of the Bank is the responsible entity?","Persons who, at the request of a related body corporate of the Bank, act as a member of the compliance committee of a registered scheme for which the related body corporate of the Bank is the responsible entity are indemnified by the Bank under the deed poll.",simple,CBA_AnnualReport_2023.pdf
3,What is the name of the website where the Commonwealth Bank of Australia Basel III Pillar 3 Capital Adequacy and Risk Disclosures as at 30 June 2023 can be found?,The Commonwealth Bank of Australia Basel III Pillar 3 Capital Adequacy and Risk Disclosures as at 30 June 2023 can be found on the US Investor Website located at: www.commbank.com.au/usinvestors.,simple,CBA_AnnualReport_2023.pdf
4,Who are the individuals who have given written notices stating that they hold office in specified companies and accordingly are to be regarded as having an interest in any contract or proposed contract that may be made between the Group and any of those companies?,A number of Directors have given written notices stating that they hold office in specified companies and accordingly are to be regarded as having an interest in any contract or proposed contract that may be made between the Group and any of those companies.,simple,CBA_AnnualReport_2023.pdf
5,What is the amount of the on-market purchase of shares that the Bank expects to satisfy the Dividend Reinvestment Plan (DRP) for the final dividend?,The Bank expects the Dividend Reinvestment Plan (DRP) for the final dividend to be satisfied in full by an on-market purchase of shares of approximately $700 million.,simple,CBA_AnnualReport_2023.pdf
6,How did the Board exercise its discretion to increase the Group NPAT and Profit after Capital Charge (PACC) targets mid-year?,"The Board exercised its discretion to increase the Group NPAT and Profit after Capital Charge (PACC) targets mid-year, an action that was considered to be fair to our shareholders and our Executives given the extraordinary market conditions.",simple,CBA_AnnualReport_2023.pdf
7,Is the Group subject to any other significant environmental reporting regulations under the law of the Commonwealth or a State or Territory of Australia?,"No, the Group is not subject to any other significant environmental reporting regulations under the law of the Commonwealth or a State or Territory of Australia, aside from the NGER scheme.",simple,CBA_AnnualReport_2023.pdf
8,What steps has the Bank taken to support customers who are under pressure in the current environment?,"The Bank has implemented enhanced procedures, assistance measures, and tools and training for its people to provide the right support when customers need it most, including keeping them safe from cyber security threats, frauds, and scams.",simple,CBA_AnnualReport_2023.pdf
9,What is the purpose of the Dividend Reinvestment Plan (DRP) for the final dividend for the year ended 30 June 2023?,The purpose of the Dividend Reinvestment Plan (DRP) for the final dividend for the year ended 30 June 2023 is to enable shareholders to reinvest their dividends in additional shares of the Bank.,simple,CBA_AnnualReport_2023.pdf
10,Who retired as Chairman and a Non-Executive Director of App Finance on 10 August 2022?,Catherine Livingstone,simple,CBA_AnnualReport_2023.pdf
11,What is the main litigated claim against the Group as at 30 June 2023?,The main litigated claim against the Group as at 30 June 2023 is the Bankwest class action.,simple,CBA_AnnualReport_2023.pdf
12,What is the uncertainty regarding the outcomes and total costs associated with regulatory actions and reviews that the Board is monitoring?,"The outcomes and total costs associated with regulatory actions and reviews are uncertain, and the Board continues to monitor each of these proceedings and investigations.",simple,CBA_AnnualReport_2023.pdf
13,How does the Board view non-financial measures in relation to executive remuneration?,The Board firmly believes that non-financial measures are leading indicators of sustainable future performance and value creation and fully endorses the need to assess and reward executives for non-financial as well as financial outcomes.,simple,CBA_AnnualReport_2023.pdf
14,"What is the fully franked final dividend per share amounting to $4,023 million that the Directors have determined?","The fully franked final dividend per share amounting to $4,023 million is 240 cents per share.",simple,CBA_AnnualReport_2023.pdf
15,What was the increase in cash net profit after tax excluding discontinued operations for the year ended 30 June 2023?,The increase in cash net profit after tax excluding discontinued operations for the year ended 30 June 2023 was $569 million or 6%.,simple,CBA_AnnualReport_2023.pdf
16,What was the average increase in fixed remuneration (FR) for the other Executive KMP in FY23?,The average FR increase across the KMP was 1.3%.,simple,CBA_AnnualReport_2023.pdf
17,What is the purpose of the deed poll executed by the Bank in favour of each secretary and senior manager of the Bank?,The deed poll executed by the Bank in favour of each secretary and senior manager of the Bank is to provide indemnification to them on substantially the same terms as those provided in the Constitution.,simple,CBA_AnnualReport_2023.pdf
18,"What is the amount of reimbursement arrangements in place for Aligned Advice remediation with its subsidiaries as of June 30, 2023?","The amount of reimbursement arrangements in place for Aligned Advice remediation with its subsidiaries as of June 30, 2023, was $82 million.",simple,CBA_AnnualReport_2023.pdf
19,What was the vesting outcome for the FY20 long-term variable remuneration (LTVR) grant?,"The FY20 LTVR vesting outcome was 92.5%, which reflects TSR performance of 70th percentile and strong performance across employee engagement and trust and reputation over the long term.",simple,CBA_AnnualReport_2023.pdf
20,What was the Total Shareholder Return (TSR) for the Bank over the period 1 July 2019 to 30 June 2023?,The Total Shareholder Return (TSR) for the Bank over the period 1 July 2019 to 30 June 2023 was above peers.,simple,CBA_AnnualReport_2023.pdf
21,Who are indemnified under the Constitution of the Commonwealth Bank of Australia?,"The Directors, Company Secretaries, and other officers of the Bank, as well as current and former Directors and Executive Officers of the Bank and its related bodies corporate, are indemnified under the Constitution.",simple,CBA_AnnualReport_2023.pdf
22,How many times did the Board of the Commonwealth Bank of Australia meet during the year ended 30 June 2023?,The Board met 10 times during the year ended 30 June 2023.,simple,CBA_AnnualReport_2023.pdf
23,What is the change in the state of affairs of the Group during the financial year related to the Board of Directors?,The change in the state of affairs of the Group during the financial year related to the Board of Directors includes changes in the composition of the Board as outlined in the Board of Directors section on pages 2-5.,simple,CBA_AnnualReport_2023.pdf
24,What is the name of the legislation that requires the Group to report on modern slavery and human trafficking risks in its operations and supply chain?,The Modern Slavery Act 2018 (Cth).,simple,CBA_AnnualReport_2023.pdf
25,What was the performance of the Executive Leadership Team (ELT) in the 2023 financial year?,"The Group overall and the Executive Leadership Team (ELT) have performed strongly this year, as demonstrated by the Group's financial performance and non-financial outcomes.",simple,CBA_AnnualReport_2023.pdf
26,What is the purpose of the National Greenhouse and Energy Reporting (NGER) scheme?,"The purpose of the National Greenhouse and Energy Reporting (NGER) scheme is to make it mandatory for controlling corporations to report annually on greenhouse gas emissions, energy production, and energy consumption if they exceed certain threshold levels.",simple,CBA_AnnualReport_2023.pdf
27,What is the purpose of the professional indemnity insurance policy issued by one of the Bank's subsidiaries to the Group's controlled entities?,"The professional indemnity insurance policy was issued to cover potential remediation of ongoing service failures to customers, inappropriate advice, and other matters.",simple,CBA_AnnualReport_2023.pdf
28,"How does the relationship between financial and non-financial performance determine executive remuneration outcomes, considering the impact of risk management and consequences for unmet expectations?","Financial and non-financial performance are considerations for short-term variable remuneration (STVR) outcomes, and leadership and strategy outcomes also determine whether long-term alignment remuneration (LTAR) awards are granted.",conditional,CBA_AnnualReport_2023.pdf
29,"What is the cash net profit after tax including discontinued operations for the year ended 30 June 2023, and how does it compare to the prior year?","The cash net profit after tax including discontinued operations for the year ended 30 June 2023 was $10,182 million, an increase of $474 million or 5% on the prior year.",conditional,CBA_AnnualReport_2023.pdf
30,"What was the statutory net loss after tax from discontinued operations for the financial year ended 30 June 2023, given that the statutory net profit after tax for the same period was $10,090 million, and the cash net profit after tax including discontinued operations was $10,182 million?","The statutory net loss after tax from discontinued operations for the financial year ended 30 June 2023 was $98 million, compared to the net profit of $1,098 million in the prior year.",conditional,CBA_AnnualReport_2023.pdf
31,What dual purpose does the National Greenhouse and Energy Reporting (NGER) scheme serve regarding environmental reporting and corporate compliance?,The National Greenhouse and Energy Reporting (NGER) scheme.,conditional,CBA_AnnualReport_2023.pdf
32,"What is the amount receivable by the Bank under the tax funding agreement with tax consolidated entities as of June 30, 2023, considering potential provisions for impairment and remediation arrangements?","The amount receivable by the Bank under the tax funding agreement with tax consolidated entities as of June 30, 2023, was $190 million.",conditional,CBA_AnnualReport_2023.pdf
33,"Under what circumstances did Shirish Apte retire as a Non-Executive Director of App Finance on October 12, 2022?",Shirish Apte,conditional,CBA_AnnualReport_2023.pdf
34,"Given that there was no reduction in the long-term variable remuneration (LTAR) grant for FY23, what was the reason behind maintaining the grant despite the company's performance?","No, there was no reduction in the LTAR grant for FY23, consistent with the design and objective to reinforce individual leadership and strategy execution.",conditional,CBA_AnnualReport_2023.pdf
35,"What non-financial measures are part of the remuneration framework, and how do they reflect the company's values and priorities?","The non-financial measures include customer advocacy as measured by net promoter score (NPS), employee engagement, ESG priorities, and risk management.",conditional,CBA_AnnualReport_2023.pdf
36,"Given the information provided, a reasonable and intricate question that can be asked is:

""What unique challenge does Simon Moutter face as Chairman of the Macfarlane Burnet Institute for Medical Research and Public Health Ltd, considering his background as a former Chief Executive Officer of Auckland International Airport and his current role as Chairman of three privately owned businesses, while also being a member of the Board Committees, and how does his experience in technology, process effectiveness, and business strategy help him overcome this challenge?",Mary Padbury is the Chairman of the Macfarlane Burnet Institute for Medical Research and Public Health Ltd.,conditional,CBA_AnnualReport_2023.pdf
37,Under what circumstances was Julie Galbo appointed as a member of the Audit and Risk & Compliance Committees?,Julie Galbo was appointed as a member of the Audit and Risk & Compliance Committees on 1 September 2022.,conditional,CBA_AnnualReport_2023.pdf
38,"How has the remuneration framework for executives changed starting from July 1, 2023, and what measures have been taken to ensure compliance with regulatory requirements while incentivizing exceptional talent and aligning with sustainable shareholder returns?","Changes have been made to the remuneration framework to meet the requirements of APRA Prudential Standard CPS 511 Remuneration, which will further strengthen governance, remuneration, and accountability practices, with regular effectiveness reviews to consider outcomes for Executives as well as the broader workforce.",conditional,CBA_AnnualReport_2023.pdf
39,"What was the Group's cash net profit after tax for the year ended 30 June 2023, excluding non-cash items, and how did it change from the prior year?","The Group's statutory net profit after tax for the financial year ended 30 June 2023 was $10,090 million, a decrease of $681 million or 6% on the prior year.",conditional,CBA_AnnualReport_2023.pdf
40,"How did the bank's capital position remain strong in the 2023 financial year, given the challenging and competitive market and rapidly changing macroeconomic factors?","The Bank's capital position remained strong in the 2023 financial year, as demonstrated by the Group's financial performance.",conditional,CBA_AnnualReport_2023.pdf
41,"How did the bank's customer advocacy initiatives impact its overall performance in FY23, particularly in terms of non-financial measures such as customer satisfaction and employee engagement, and how did these outcomes influence executive remuneration?",The Bank ended the year ranked first relative to the other major peer banks in customer advocacy as measured by net promoter score (NPS).,conditional,CBA_AnnualReport_2023.pdf
42,"What is the name of the document that contains the financial statements for the years ended 30 June 2020, 2021, and 2022, and as at 30 June 2021 and 2022, given that the 2023 Financial Report should be read in conjunction with the 2022 Financial Report and the Commonwealth Bank of Australia Basel III Pillar 3 Capital Adequacy and Risk Disclosures as at 30 June 2023, and can be found on the US Investor Website?","The name of the document that contains the Financial Statements for the years ended 30 June 2020, 2021, and 2022, and as at 30 June 2021 and 2022 is the Commonwealth Bank of Australia Financial Report (US Version) – Year Ended 30 June 2022.",conditional,CBA_AnnualReport_2023.pdf
43,How does the remuneration structure for Group Executives and CEO ASB differ from that of the CEO in terms of performance measures and deferral periods?,"The remuneration for Group Executives and CEO ASB includes a mix of FR, STVR, LTAR, and performance rights, while the CEO's remuneration includes a mix of FR, STVR, LTAR, and restricted share units.",conditional,CBA_AnnualReport_2023.pdf
44,"What is the total amount insured under the professional indemnity insurance policy, considering potential remediation of ongoing service failures, inappropriate advice, and other matters, as of June 30, 2023, while taking into account the reimbursement arrangements and indemnity deed in place?","The total amount insured under the professional indemnity insurance policy as of June 30, 2023, was up to $124 million.",conditional,CBA_AnnualReport_2023.pdf
45,"Given the information provided, a possible rewritten question that increases complexity by introducing a conditional element could be:

""Assuming Peter Harmer's extensive experience in the financial services industry and his current role as an Independent Non-Executive Director at Lawcover Insurance Pty Limited, how might his expertise in risk management, customer perspectives, and environmental, social, and governance practices contribute to the Board's decision-making process in the event of a major environmental disaster affecting the company's operations?",Peter Harmer is a Director of Lawcover Insurance Pty Limited.,conditional,CBA_AnnualReport_2023.pdf
46,"What is the total amount of investments in and loans to controlled entities as of June 30, 2023, considering potential provisions for impairment and remediation arrangements?","The total amount of investments in and loans to controlled entities as of June 30, 2023, was $54,636 million.",conditional,CBA_AnnualReport_2023.pdf
47,"Given that the bank's capital position remains strong and disciplined execution of strategic priorities resulted in growth despite a challenging and competitive market, what was the percentage increase in Cash Net Profit After Tax (NPAT) for the bank in the 2023 financial year?","$10,182 million, up 5%.",conditional,CBA_AnnualReport_2023.pdf
48,"What document contains the financial statements for the years ended June 30, 2021, 2022, and 2023, and can be found on the US Investor Website?","The name of the document that contains the Financial Statements for the years ended 30 June 2021, 2022, and 2023 is the Commonwealth Bank of Australia Financial Report (US Version) – Year Ended 30 June 2023.",conditional,CBA_AnnualReport_2023.pdf
49,"Who relies on individual deeds of indemnity rather than the indemnity deed poll, and what protections do these documents offer?","The Bank’s Directors, and other individuals described in the preceding paragraph, rely on the terms of their individual deed of indemnity and not the indemnity deed poll.",conditional,CBA_AnnualReport_2023.pdf
50,"What was the 5% increase in total operating income for the financial year ended 30 June 2023, given that the Group's statutory net profit after tax decreased by 6% and was driven by a 10% increase in total operating income, partly offset by a 4% increase in operating expenses and a $1,465 million increase in loan impairment expense?",The increase in total operating income for the financial year ended 30 June 2023 was 10%.,conditional,CBA_AnnualReport_2023.pdf
51,"What is the amount of loans to controlled entities at fair value through the Income Statement as of June 30, 2023, considering the impact of provisions for impairment and potential remediation of ongoing service failures, inappropriate advice, and other matters?","The amount of loans to controlled entities at fair value through the Income Statement as of June 30, 2023, was $636 million.",conditional,CBA_AnnualReport_2023.pdf
52,"What is the total amount of loans to controlled entities at amortized cost as of June 30, 2023, considering potential provisions for impairment and remediation arrangements with subsidiaries?","The total amount of loans to controlled entities at amortized cost as of June 30, 2023, was $45,377 million.",conditional,CBA_AnnualReport_2023.pdf
53,"What are the two main litigated claims against the Group as of June 30, 2023, according to the wealth remediation provision, and what are the allegations made in the shareholder class actions?",It is alleged that CBA shareholders who acquired an interest in CBA shares between 16 June 2014 and 3 August 2017 suffered losses as a result of the alleged conduct.,conditional,CBA_AnnualReport_2023.pdf
54,"Under what circumstances did Paul O'Malley retire as Chair of the People & Remuneration Committee on August 10, 2022?",Paul O’Malley retired as Chair of the People & Remuneration Committee effective 10 August 2022.,conditional,CBA_AnnualReport_2023.pdf
55,"What are the dual allegations made against Bankwest in the class action lawsuit regarding their conduct between 2008 and 2012, and how does it allegedly amount to unconscionable conduct and breach of contract?","The plaintiffs allege that Bankwest implemented a system to identify, remove and write-off commercial loans, notwithstanding that the loans were performing loans at the time, which is alleged to have amounted to unconscionable conduct and breach of contract.",conditional,CBA_AnnualReport_2023.pdf
56,"What are the uncertainties and possible claims associated with the regulatory actions and reviews that the Board is monitoring, and how is the Group engaging with its regulators regarding these matters?","The litigation and regulatory matters referred to in the text include proceedings related to the Bank's regulatory compliance, including the defense of ten class actions.",conditional,CBA_AnnualReport_2023.pdf
57,How has the Bank's remuneration framework adapted to the challenges of the rapidly changing macroeconomic factors while balancing financial and non-financial performance outcomes?,"The Bank's remuneration framework focuses on balanced financial and non-financial performance outcomes, appropriately governed, and support sustainable long-term value creation.",conditional,CBA_AnnualReport_2023.pdf
58,"Under the deed poll, who else, apart from Directors and Company Secretaries, is indemnified by the Bank?","The Bank has also executed an indemnity deed poll, which provides indemnification to certain other officers on substantially the same terms as those provided in the Constitution.",conditional,CBA_AnnualReport_2023.pdf
59,Under what circumstances did Paul O'Malley become the Managing Director and Chief Executive Officer of App Finance?,Matt Comyn,conditional,CBA_AnnualReport_2023.pdf
60,"What was the outcome of the Bank's gender diversity goals in FY23, considering the impact of risk management and remuneration adjustments on performance outcomes?",The Bank continued to make progress towards achievement of its gender diversity goals and maintained high levels of employee engagement.,conditional,CBA_AnnualReport_2023.pdf
61,"Given that the bank's capital position is strong and cash net profit after tax increased by 5%, what was the purpose of the 2023 remuneration report, which emphasizes sustainable long-term value creation and non-financial performance measures?","The purpose of the 2023 Remuneration Report is to provide information on the remuneration of Executives and Non-Executive Directors, and to demonstrate how the Bank's remuneration framework supports sustainable performance and aligns with stakeholder expectations.",conditional,CBA_AnnualReport_2023.pdf
62,"Given the information provided, a possible rewritten question that increases complexity by introducing a conditional element could be:

""Assuming Lyn Cobley's extensive experience in financial risk management, leadership, and culture, and her ability to navigate complexity in a highly regulated environment, how would her expertise in sustainability financing enhance the board's decision-making process when addressing environmental, social, and governance practices?",Lyn Cobley has over 30 years of experience in financial markets.,conditional,CBA_AnnualReport_2023.pdf
63,"Given that the fees for non-executive directors remained unchanged in FY23, what was the reason for the 1.3% increase in average FRincrease across KMP, and how did it impact the STVR outcomes?","No, there was no change to directors’ fees or the fee pool in FY23.",conditional,CBA_AnnualReport_2023.pdf
64,How does the bank balance ESG responsibilities with financial performance when determining executive remuneration?,"The Bank prioritizes ESG obligations and ambitions as they are integral to its purpose to build a brighter future for all, critical to its overarching strategy, and are incorporated in executive performance scorecards and risk milestones.",conditional,CBA_AnnualReport_2023.pdf
65,"What is the amount of shares in controlled entities held by the Bank as of June 30, 2023, considering the impact of reimbursement arrangements, indemnity deeds, and tax funding agreements?","The Bank held shares in controlled entities amounting to $8,623 million as of June 30, 2023.",conditional,CBA_AnnualReport_2023.pdf
66,"What non-cash items are included in the statutory net profit after tax, and how do they impact the financial performance of the group?","The non-cash items included in statutory net profit after tax are gain/(loss) on acquisition, disposal, closure and demerger of businesses and associates (classified as discontinued operations), hedging and IFRS volatility.",conditional,CBA_AnnualReport_2023.pdf
67,What are the main claims made in the superannuation class action concerning investment in cash and deposit options in the Colonial First State First Choice Superannuation Trust and Commonwealth Essential Super?,The main claim is that members that invested in cash and deposit options received lower interest rates than they could have received had CFSIL/AIL offered similar products made available in the market by another bank with comparable risk.,conditional,CBA_AnnualReport_2023.pdf
68,"Given that the Group's financial targets were revised mid-year due to unforeseen macroeconomic factors, what was the outcome of the Group's performance in the 2023 financial year, considering both financial and non-financial measures?","Through excellent financial management and operational execution, Group NPAT and PACC results materially exceeded these more challenging targets, a good outcome for our shareholders.",conditional,CBA_AnnualReport_2023.pdf
