question,answer,question_type,filename
What was the issue with skilled foreign workers in SG?,"The concern regarding high-skilled foreign workers in Singapore was that the rapid growth in migrant high-skilled workers led to keen competition for Professional, Managerial, Executive, and Technical (PMET) jobs, which were demanded by an increasingly well-educated Singapore citizen workforce.",compress,Immigration_in_Singapore.pdf
How did the Great Depression affect work in Singapore?,"The Great Depression resulted in a severe but brief shock to labor demand in the early 1930s and precipitated a large-scale repatriation exercise of unemployed migrants to their sources in China and India, briefly reversing population growth with a net outflow of some 389,000 migrants from British Malaya.",compress,Immigration_in_Singapore.pdf
What was Singapore's post-independence priority?,"According to the text, the priority of the post-independence government of Singapore was to promote economic development to resolve an imminent unemployment crisis.",compress,Immigration_in_Singapore.pdf
What was the aim of the 1982 Foreign Worker Levy system?,The policy objective of the Foreign Worker Levy system introduced in 1982 was to calibrate and reduce the foreign workforce in Singapore.,compress,Immigration_in_Singapore.pdf
How does Singapore handle foreign workers?,"The approach to managing foreign labor in Singapore differs substantially by the skill level of migrants. Low-skilled migrants are viewed as temporary guest workers and are subject to strict conditions, while skilled foreigners are encouraged to bring their families and have a path to permanent residency or citizenship.",compress,Immigration_in_Singapore.pdf
What was the ruling party's vote share in 2011?,"The ruling party received 60.14% of the voter share in the 2011 general election, which was a significant decrease from the 66.6% they received in 2006.",compress,Immigration_in_Singapore.pdf
What led to Singapore's fertility rate drop?,"Fertility rates in Singapore declined significantly over the years, from one of the world's highest fertility rates in the 1950s to less than replacement fertility by the late 1970s, despite significant efforts to encourage marriage and procreation, particularly among higher-educated couples.",compress,Immigration_in_Singapore.pdf
What drives migration to SG?,The main source of migrant inflow into Singapore is foreign workers.,compress,Immigration_in_Singapore.pdf
What's the underlying theme in SG immigration policy?,"The use of rapidly imported migrant labor to fill the economic needs of a rapidly growing economy, the equally swift dispensation with migrants when economic challenges arise, and the transformation, over time, of migrants —on an increasingly selective basis —into residents.",compress,Immigration_in_Singapore.pdf
What was the number of foreign workers in S'pore in 2009?,The number of foreign workers in Singapore in 2009 was around 1.044 million.,compress,Immigration_in_Singapore.pdf
What was the number of foreign workers in S'pore in 2016?,The number of foreign workers in Singapore in 2016 was around 1.415 million.,compress,Immigration_in_Singapore.pdf
What's the name of the first budget plan after Singapore's independence?,"According to the text, the first Budget Statement of independent Singapore was delivered by Finance Minister Lim Kim San.",compress,Immigration_in_Singapore.pdf
What's the impact of immigration on Singapore's economy?,"The economic consequences of immigration in Singapore include impacts on employment, labor supply, skills, and sectoral allocation of Singapore residents (citizens and permanent residents), as well as on industrial structure and productivity.",compress,Immigration_in_Singapore.pdf
"Foreign worker levy, how's it work in SG?","The foreign worker levy varies by sector, source country, and skill level of the migrant.",compress,Immigration_in_Singapore.pdf
What's the significance of the dependency ratio ceiling for Singaporean employers?,"The purpose of the dependency ratio ceiling is to limit the number of foreign workers that an employer can hire, in order to preserve resident jobs and promote complementarity between resident workers and foreign workers.",compress,Immigration_in_Singapore.pdf
What's the DRC policy all about?,The Dependency Ratio Ceiling (DRC) policy was introduced in 1982 to limit the maximum permitted ratio of Work Permit holders in an employer’s overall workforce.,compress,Immigration_in_Singapore.pdf
"How does the Foreign Maid Scheme introduced in 1978 and the requirement for employers to pay a monthly levy with concessionary rates available to older employers, those with disabilities, as well as employers residing with young children, older parents/grandparents, and/or disabled family members, relate to the management of the EP qualifying salary and the ability to adjust prices and affect business costs quickly in response to external labor market conditions?","The Foreign Maid Scheme introduced in 1978 and the requirement for employers to pay a monthly levy with concessionary rates available to certain employers are part of Singapore's broader immigration policy aimed at managing the inflow of foreign workers and ensuring affordable childcare and elder care to encourage female residents to enter the labor force. The ability to adjust prices and affect business costs quickly in response to external labor market conditions is illustrated by the series of foreign worker levy rebates that were rolled out during the COVID-19 pandemic. The management of the EP qualifying salary, which is meant to maintain the quality of EP holders to be comparable to the upper one-third of resident workers in the same skill category, is also part of this broader immigration policy. By managing the qualifying salary, the government can ensure that foreign professionals, managers, and executives are attracted to work in Singapore while also protecting the resident labor force. The various criteria governing the issuance of the EP, such as the requirement for employers to demonstrate that they have fairly considered residents for the role, also help to protect the resident labor force.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How has the Foreign Maid Scheme evolved over time in response to changes in Singapore's labor market and immigration policies, and what role does it play in supporting the country's workforce and economy?","The Foreign Maid Scheme has undergone changes over time in response to shifts in Singapore's labor market and immigration policies. For instance, the government has adjusted the levy and dependency ratio ceiling to manage the flow of foreign workers. Additionally, the scheme has played a crucial role in supporting the country's workforce and economy by providing affordable childcare and elder care, enabling women to enter the labor force, and meeting the demand for low-skilled migrant workers. Today, there are about 250,000 foreign domestic workers in Singapore, and employers must meet specific requirements to hire them, such as paying a monthly levy and demonstrating significant care needs.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What specific factors contributed to the government's decision to aim for a 'wholly Singaporean workforce' by 1991, and how did their approach to migrant labor change over time?","The government's decision to phase out foreign workers was influenced by their goal of building a fully employed economy based on upgrading the skills and capabilities of the resident labor force. They aimed to selectively permit migrants to fill skill and labor gaps, with an eye to eventual assimilation of some migrants into the Singapore citizen population. By 1982, the government announced its plan to minimize reliance on foreign workers and build up a wholly Singaporean workforce over the next 10 years, with work permit holders being gradually phased out. The approach to migrant labor shifted from a small supplement to the overall labor force to a more homogenous workforce working together as a team, with a focus on raising productivity and eventually offering permanent residence with a view to citizenship to workers who would contribute to productivity.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the government's plan for foreign workers in the construction industry, and how did it fit into their broader immigration policy, which was influenced by factors such as economic needs, job polarization, and the desire for a homogenous workforce?","The government's plan, as announced by founding Prime Minister Lee Kuan Yew in 1982, was to phase out foreign workers in the construction workforce by 1991 as part of their broader goal of achieving a 'wholly Singaporean workforce' without any work permit holders. This plan was motivated by a desire to upgrade the skills and capabilities of the resident labor force, minimize reliance on foreign workers, and build a more homogenous workforce. The government aimed to selectively permit migrants to fill skill and labor gaps, with an eye to eventual assimilation of some migrants into the Singapore citizen population. The plan was echoed by other government officials, such as the Minister of State for Labour, Dr. Wong Kwei Cheong, and the Minister of State for National Development, Mr. Lee Yock Suan, who emphasized the need for productivity growth and industry upgrading to lessen the need for foreign workers.",multi-hop reasoning,Immigration_in_Singapore.pdf
What was the impact of the bifurcation of foreign labor policy into a 'Foreign Talent' strategy and a 'Foreign Worker' strategy on the number of Employment Pass holders in Singapore during the period of rapid economic growth following the global financial crisis of 2009?,"The bifurcation of foreign labor policy into a 'Foreign Talent' strategy and a 'Foreign Worker' strategy, along with the introduction of the S Pass scheme, led to a significant increase in the number of Employment Pass holders in Singapore during the period of rapid economic growth following the global financial crisis of 2009. The number of Employment Pass holders expanded by around 30,000 per year in the two years after the crisis, which was a number two and a half times larger than the entire cohort each year of graduating university-educated residents. This increase was driven by the government's efforts to manage the social impact of a large foreign workforce, while also ensuring that incoming workers filled positions that required skills that were relatively rare in the resident population.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the average number of new citizen and permanent resident grants in Singapore between 2009 and 2016, and how did it affect the growth of the non-resident workforce in the country during the same period?","Between 2009 and 2016, the average number of new citizen and permanent resident grants in Singapore was around 20,000 and 30,000 per year, respectively. This slowdown in assimilation into the resident workforce coincided with a plateauing of the growth of the non-resident workforce, which rose from 1.044 million workers in 2009 to 1.415 million in 2016. The slowdown in foreign workforce growth was likely due to measures implemented by the government to slow or halt foreign workforce growth, such as reducing the number of foreign student admissions from 100,000 in 2008 to 84,000 in 2012.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How does the use of the dependency ratio ceiling and foreign worker levy serve as a control to preserve resident jobs in sectors that are highly dependent on foreign workers, and what is the longer-term policy aim of this control, as stated by policy makers?","The use of the dependency ratio ceiling and foreign worker levy serves as a control to preserve resident jobs in sectors that are highly dependent on foreign workers by limiting outright substitution and/or promoting complementarity between resident workers and foreign workers. The longer-term policy aim of this control, as stated by policy makers, is to balance the need to supplement the labor force to sustain economic growth while keeping production costs reasonable, and at the same time to avoid excessive reliance on foreign workers, minimizing possible labor market effects on Singapore citizen workers in the form of diminished job opportunities for low-skilled Singapore citizens and the likelihood that access to low-cost foreign labor might crowd out firm incentives to invest in labor-saving, productivity-enhancing technologies.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What factors contributed to the growth of the non-resident labor force in Singapore, and how did the government's policies on talent acquisition and assimilation affect the demographic makeup of the resident population?","The growth of the non-resident labor force in Singapore was largely driven by the government's efforts to attract and recruit highly skilled workers globally, as well as the expansion of international universities and scholarship programs for foreign students. The government's policies on talent acquisition and assimilation led to a significant increase in the proportion of foreign-born residents in Singapore, which in turn contributed to the growth of the non-resident labor force. However, the government's distinction between residents and non-residents, as well as the lack of official statistics on the breakdown of the foreign-born population within the resident category, makes it difficult to determine the exact impact of these policies on the demographic makeup of the resident population.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How did the bifurcation of foreign labor policy into a 'Foreign Talent' strategy and a 'Foreign Worker' strategy, and the introduction of the S Pass system, address the issue of wage suppression and social ills associated with the rapid growth of the non-resident workforce in Singapore during the late 2000s?","The bifurcation of foreign labor policy into a 'Foreign Talent' strategy and a 'Foreign Worker' strategy, and the introduction of the S Pass system, helped to address the issue of wage suppression and social ills associated with the rapid growth of the non-resident workforce in Singapore during the late 2000s by creating a hierarchy of foreign workers based on skills and qualifications. The 'Foreign Talent' strategy targeted high-skilled workers for long-term assimilation and was designed to fill positions that required skills that were relatively rare in the resident population, while the 'Foreign Worker' strategy managed low-skilled workers for economic necessity but carefully managed their social and economic trade-offs. The S Pass system was introduced for medium-skilled foreign workers who fell short of the high-skilled threshold, and it was managed through a levy and quota system similar to that used for low-skilled workers, but S Pass holders were not subject to societal management policies such as restrictions on source countries and were seen as a potential source for long-term assimilation. These policies helped to moderate the criteria for incoming workers to accommodate sectoral challenges or opportunities, and they ensured that incoming workers filled positions that required skills that were relatively rare in the resident population, thereby addressing the issue of wage suppression and social ills associated with the rapid growth of the non-resident workforce.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What are the implications of the Singapore government's policy of not allowing EP holders to change employers freely, given the country's reliance on foreign workers, the need to manage labor market conditions, and the desire to protect the resident labor force?","The implications of the Singapore government's policy of not allowing EP holders to change employers freely are multifaceted. On the one hand, it helps to ensure that foreign professionals, managers, and executives who are granted EPs are of high quality and comparable to the upper one-third of resident workers in the same skill category, which is in line with the policy objective of maintaining a high-quality workforce. Additionally, it protects the resident labor force by ensuring that employers must demonstrate that they have fairly considered residents for the role before they are eligible to apply for an EP. On the other hand, it limits the flexibility of EP holders, who are not allowed to change employers freely and are required to work and live at the employer's home. This could potentially limit the ability of EP holders to seek better job opportunities or negotiate better salaries and benefits. Furthermore, the policy may also impact the ability of Singapore to attract and retain top talent, as high-skilled professionals may be deterred by the lack of job mobility. However, the policy also ensures that there is no quota on the number of EPs that can be granted, and no limit on the countries that the EP holder can come from, which allows for a diverse and skilled workforce in Singapore.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How does the Foreign Maid Scheme introduced in 1978 and the dependency ratio ceiling lowered in selected sectors in 2013 impact the ability of EP holders earning at least S$6,000 to bring their family members into Singapore under a dependent’s Pass?","The Foreign Maid Scheme introduced in 1978 and the dependency ratio ceiling lowered in selected sectors in 2013 do not directly impact the ability of EP holders earning at least S$6,000 to bring their family members into Singapore under a dependent’s Pass. However, the Foreign Maid Scheme provides an avenue for employers to hire foreign domestic workers, which can help to alleviate the burden of care responsibilities for EP holders who may have family members that require care. Additionally, the dependency ratio ceiling lowered in selected sectors in 2013 aims to reduce Singapore’s reliance on foreign workers, which could potentially lead to a reduction in the number of EPs granted, and therefore, the number of EP holders who can bring their family members into Singapore under a dependent’s Pass. However, this is not explicitly stated in the given context.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How does Singapore's historical development of immigration policies, including the impact of technological change and open high-skilled immigration policy, affect the structural economic insecurity faced by the Singapore citizen labor force, and what are the challenges that Singapore faces in reinventing itself when long-term migrant assimilation has replicated the colonial-era societal status quo?","Singapore's historical development of immigration policies has led to a high reliance on low-skilled, low-wage migrant labor, which has contributed to structural economic insecurity for the Singapore citizen labor force. The open high-skilled immigration policy has not been able to wean itself off low-wage, low-skilled migrant labor, and this has resulted in challenges for Singapore in reinventing itself when long-term migrant assimilation has replicated the colonial-era societal status quo. The impact of technological change has further exacerbated these challenges, as automation and artificial intelligence threaten to displace jobs that were previously held by low-skilled workers. To address these challenges, Singapore will need to reassess its immigration policies and consider strategies to upskill its workforce and promote innovation and entrepreneurship.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How has the growth of the non-resident workforce and assimilation into the resident workforce changed in the mid-2010s, and what measures have been taken to address these changes, and how do these measures relate to the rationale behind Singapore's immigration policy?","The growth of the non-resident workforce plateaued toward the mid-2010s, rising from 1.044 million workers in 2009 and levelling off around 1.415 million in 2016, while assimilation into the resident workforce slowed dramatically, with new citizen and permanent resident grants slowing to an average of about 20,000 and 30,000 a year, respectively. In response, measures have been taken to slow or halt foreign workforce growth, such as reducing inflows of foreign students, from 100,000 in 2008 to about 84,000 in 2012. Additionally, policies have been implemented to develop Singapore as an international student hub, ensuring that Singaporeans have access to government-subsidized higher education institutions. These measures are related to the rationale behind Singapore's immigration policy, which aims to maintain economic competitiveness and growth, fill labor shortages, and provide care services within the household, while addressing demographic considerations such as low fertility and an aging population.",multi-hop reasoning,Immigration_in_Singapore.pdf
How does the Foreign Maid Scheme introduced in 1978 and the Employment Pass (EP) issuance criteria relate to the management of the short-term flow of labor in response to economic cycles and other events in Singapore?,"The Foreign Maid Scheme and the EP issuance criteria are both used to manage the short-term flow of labor in response to economic cycles and other events in Singapore. The Foreign Maid Scheme allows for the hiring of domestic workers from regional countries beyond Malaysia to provide live-in domestic help and ensure affordable child care and elder care to encourage female residents to enter the labor force. This helps to manage the short-term flow of labor by providing a source of foreign workers to meet the demand for domestic help, which can fluctuate based on economic conditions. The EP issuance criteria, on the other hand, is used to manage the quality of foreign professionals, managers, and executives who are allowed to work in Singapore. The policy objective for managing the EP qualifying salary is to maintain the quality of EP holders to be comparable to the upper one-third of resident workers in the same skill category. This helps to ensure that foreign workers are not brought in at the expense of resident workers, and that the resident labor force is protected. Both of these measures are used in conjunction with the dependency ratio ceiling to achieve longer-term policy aims and manage the short-term flow of labor in response to economic cycles and other events.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What is the proportion of foreign-born population in the resident workforce in Singapore, and how has it changed over time?","According to Figure 2, the proportion of foreign-born population in the resident workforce in Singapore has been gradually increasing since the 1990s, with a rapid and continuous rise in the 1990s. However, there are few official statistics available on the breakdown of the foreign-born population within the resident category. The non-resident labor force grew from 248,200 workers in 1990 to more than one million workers in 2008, comprising more than one-third (34.41 percent) of the total workforce. While the growth of the resident workforce was relatively stable, the non-resident workforce exhibited significant fluctuations, including flat or negative growth in the aftermath of economic recessions.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What were the factors that contributed to the rapid population growth in Singapore during the period of 1824 to 1931, and how did the immigration policies during that time affect the population's gender ratio and fertility rates?","The rapid population growth in Singapore during the period of 1824 to 1931 was fueled by large-scale immigration, primarily from China and India, which was encouraged by the British colonial government to provide labor for the trading port, public works, and plantations. The immigration policies during that time did not impose any restrictions on female migrants, resulting in a significant increase in the female population and a preferential status for women under immigration policy. This led to a dramatic increase in the number of women of child-bearing age and a decrease in the overall sex ratio, contributing to natural increase becoming the major source of population growth in the post-war period. The high fertility rates during the post-war baby boom also contributed to natural increase, and by the first post-independence Census in 1970, natural increase accounted for 94.8 percent of intercensal population growth from 1957 to 1971.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What are the names of the researchers who wrote the background paper for the World Development Report 2023: Migrants, Refugees, and Societies, which discusses the mechanics and rationale behind Singapore's unique set of current immigration policies, and who also acknowledge the helpful comments and suggestions of Caglar Özden and the excellent research assistance of Rafi Kamsani and Daryl Lee?","The names of the researchers who wrote the background paper for the World Development Report 2023: Migrants, Refugees, and Societies are Jessica Pan and Walter Theseira. They are the authors of the paper, and their names are mentioned in the text. The paper discusses the mechanics and rationale behind Singapore's unique set of current immigration policies, and they acknowledge the helpful comments and suggestions of Caglar Özden and the excellent research assistance of Rafi Kamsani and Daryl Lee.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the purpose of the 'Global Schoolhouse' project, given that Singapore had a low fertility rate, which led the government to launch a multi-ministry committee to attract and recruit highly skilled workers globally, and the project aimed to make Singapore a hub for international universities?","The purpose of the 'Global Schoolhouse' project was to attract high-potential students to study in Singapore and to make Singapore a hub for international universities, which aligns with the government's plans to gather talent and recruit highly skilled workers globally, as well as to address the issue of low fertility rate in Singapore by welcoming the infusion of knowledge which foreign talent will bring, thereby making Singapore a cosmopolitan, global city, an open society where people from many lands can feel at home.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What are the challenges that Singapore's foreign worker policy may face in the near future, and how might they be addressed?","The challenges that Singapore's foreign worker policy may face in the near future include the impact of skill-based immigration on the economic insecurity of residents in the context of rapid technological change, the continued high reliance of many sectors on low-skilled foreign manpower, and the difficulty of adapting and reinventing assimilation policies in a multiethnic society. These challenges could be addressed by implementing policies that prioritize the upskilling and reskilling of the resident workforce, promoting the use of technology to enhance productivity, and fostering greater social cohesion and inclusivity.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the government's plan for foreign workers in the construction industry in the 1980s, and how did it reflect their broader goals for the country's workforce?","The government's plan for foreign workers in the construction industry in the 1980s was to phase them out gradually over the decade, as the industry upgraded, mechanized, and industrialized. This was part of their broader goal of building a wholly Singaporean workforce by 1991, as expressed by founding Prime Minister Lee Kuan Yew in 1982. The government aimed to minimize reliance on foreign workers and build a more homogenous workforce, with a view to citizenship for those who would raise productivity levels. The plan was echoed by Minister of State for Labour, Dr. Wong Kwei Cheong, and Minister of State for National Development, Mr. Lee Yock Suan, in parliamentary debates in 1982 and 1983.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the impact of the government's efforts to encourage marriage and procreation, particularly among higher-educated couples, on the fertility rate of Singapore by the late 1970s, given that the government's plans for 'Gathering Talent' and rebranding Singapore as a 'Talent Capital' led to the attraction of highly skilled workers globally, and the assimilation of migrants, resulting in a significant growth of the non-resident labor force and a reversal of the declining trend of the foreign-born population in Singapore during the 1990s?","The government's efforts to encourage marriage and procreation, particularly among higher-educated couples, did not significantly impact the fertility rate of Singapore by the late 1970s. Despite the efforts, the fertility rate remained low, which led the government to adopt a new approach to address the issue by attracting highly skilled workers globally and assimilating migrants. This approach resulted in a significant growth of the non-resident labor force and a reversal of the declining trend of the foreign-born population in Singapore during the 1990s.",multi-hop reasoning,Immigration_in_Singapore.pdf
"How did the bifurcation of foreign labor policy into a 'Foreign Talent' strategy and a 'Foreign Worker' strategy, coupled with the introduction of the S Pass system, address the issue of wage suppression and social ills associated with low-skilled foreign workers, while ensuring that high-skilled workers filled positions that required skills that were relatively rare in the resident population?","The bifurcation of foreign labor policy into a 'Foreign Talent' strategy and a 'Foreign Worker' strategy, coupled with the introduction of the S Pass system, addressed the issue of wage suppression and social ills associated with low-skilled foreign workers by carefully managing their numbers and imposing levies and quotas on their employment. At the same time, high-skilled workers were targeted for long-term assimilation and were not subject to societal management policies, ensuring that they filled positions that required skills that were relatively rare in the resident population.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the reason behind the growth of non-resident labor force in Singapore during the late 1990s onward, and how did the government's policy on assimilation contribute to this growth?","The growth of non-resident labor force in Singapore during the late 1990s onward can be attributed to the government's policy of assimilation, which aimed to attract and recruit highly skilled workers globally. The government recognized the need for intellectual capital to be a successful knowledge-based economy and therefore welcomed the infusion of knowledge which foreign talent would bring. This led to the establishment of a multi-ministry Singapore Talent and Recruitment (STAR) committee in 1998 to attract and recruit highly skilled workers globally. Additionally, efforts were made to attract high-potential students to Singapore through Singapore government-sponsored scholarship programs for study in local educational institutions, as well as through the 'Global Schoolhouse' project, which aimed to make Singapore a hub for international universities. As a result, a substantial portion of resident labor force growth during the late 1990s onward can be attributed to the assimilation of migrants, which reversed the trend of a declining foreign-born population in Singapore.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the proportion of foreign-born population in Singapore's resident workforce in the late 1990s, and how did it change over time?","According to Figure 2, the proportion of foreign-born population in Singapore's resident workforce gradually declined and plateaued from 1960 to the 1990s, consistent with the lack of any explicit policy of assimilation and policy ambivalence toward foreign workers. However, this pattern started to reverse in the 1990s, with the proportion of foreign-born population rapidly and continuously rising. Unfortunately, there are few official statistics on the breakdown of the foreign-born population within the resident category, but a substantial portion of resident labor force growth during the late 1990s onward can be attributed to the assimilation of migrants.",multi-hop reasoning,Immigration_in_Singapore.pdf
"What was the size of the foreign-born population in Singapore in 2008, and how did it contribute to the growth of the resident workforce during the late 1990s and early 2000s?","According to Figure 2, the foreign-born population in Singapore gradually declined and plateaued from 1960 to the 1990s, before rapidly and continuously rising in the 1990s. Unfortunately, there are few official statistics on the breakdown of the foreign-born population within the resident category. However, a substantial portion of resident labor force growth during the late 1990s onward can be attributed to the assimilation of migrants. As shown in Figure 1, the non-resident labor force grew from 248,200 workers in 1990 to more than one million workers in 2008, comprising more than one-third (34.41%) of the total workforce. The growth of the resident workforce was relatively more stable, at approximately 38,000 workers per year. Therefore, the foreign-born population in Singapore in 2008 was likely a significant portion of the total workforce, and played a notable role in the growth of the resident workforce during the late 1990s and early 2000s.",multi-hop reasoning,Immigration_in_Singapore.pdf